$x1(t)$,$x2(t)$,$x1c(t)$,$x2c(t)$,$x1cc(t)$,$x2cc(t)$
-2.076165508844826e-05,-3.468860606746153e-08,-0.08293327584224451,-0.00027722859382300083,-164.96067215751236,-1.660123733648749
-8.254955300517553e-05,-5.51569268240867e-07,-0.16382495782013667,-0.002196848198064423,-159.20635211057782,-6.53392637555531
-0.00018375829325273837,-2.7623422262238703e-06,-0.24035050470098862,-0.007293921847002878,-148.89495151323442,-14.298209717297544
-0.00032165078117436796,-8.597024515737118e-06,-0.310317091031714,-0.01688947087579615,-134.3455970992993,-24.423750240519382
-0.0004924405166990059,-2.057222310032053e-05,-0.3717283866607018,-0.031993965246092014,-116.00097425998335,-36.203034687880184
-0.0006914045556237166,-4.161503746451756e-05,-0.42284213442665985,-0.053227142300578886,-94.41095776773045,-48.787574680145845
-0.0009130230235993944,-7.485187767726683e-05,-0.46221849951921395,-0.08075850812704984,-70.21254182217776,-61.23298004879169
-0.0011511401401828765,-0.000123373425143756,-0.48875755180286184,-0.11427186316938845,-44.10691353963536,-72.54958509344928
-0.0016513604466339112,-0.00027698109683135715,-0.5056714440314605,-0.1955388141424485,0.9393934948352154,-88.0317141368865
-0.0021509096970326815,-0.0005174442807609688,-0.4879475321294085,-0.28564443071164936,33.78294891614817,-89.52506969355125
-0.0026171115532662606,-0.0008460185373495774,-0.43984182461570615,-0.36895036953639093,61.45330714295596,-74.20707124408835
-0.0030223749179905815,-0.0012474057982139867,-0.36709400404746845,-0.42849994921145323,83.00140619477475,-42.31888607925296
-0.003345139640245089,-0.0016899986279646317,-0.27584480088260355,-0.4491494825791851,98.56363596342452,2.7979163854819262
-0.003569753709356384,-0.0021291764858699007,-0.1716152637850302,-0.4204447471890708,109.20054406730334,55.240075275042955
-0.0036854404051378667,-0.0025131235055752712,-0.058535452855268205,-0.33870770968464997,116.56776388296751,107.55888975917969
-0.0036846790352845923,-0.002790167235463647,0.061039836457459994,-0.20794305502457672,122.48381765553003,152.06752178401678
-0.003561424430431617,-0.002916351246129033,0.18646603184620714,-0.03939098902526267,128.47842462266817,182.19874560902508
-0.0033096095495937397,-0.0028619049651652066,0.31831886938362297,0.15019780938853206,135.4083071798729,193.66305352499046
